Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance
9,Surface,516,Dispur,781005,Gairsain,246401,1900
13,Air,2175,Dispur,781005,Kolkata,700001,1000
13,Surface,536,Dispur,781005,Kolkata,700001,1000
15,Air,2503,Dispur,781005,New Delhi,110001,1600
15,Surface,603,Dispur,781005,New Delhi,110001,1600
20.3,Air,2749,Patna,800001,Amaravati,522020,1200
20.3,Surface,697,Patna,800001,Amaravati,522020,1200
18,Air,2419,Patna,800001,Visakhapatnam,530001,1400
18,Surface,668,Patna,800001,Visakhapatnam,530001,1400
4.6,Air,801,Patna,800001,Itanagar,791111,1000
4.6,Surface,390,Patna,800001,Itanagar,791111,1000
13,Air,2175,Patna,800001,Dispur,781005,1000
13,Surface,536,Patna,800001,Dispur,781005,1000
17.1,Air,2353,Patna,800001,Raipur,492001,1100
17.1,Surface,655,Patna,800001,Raipur,492001,1100
18,Air,2419,Patna,800001,Panaji,403001,2000
18,Surface,655,Patna,800001,Panaji,403001,2000
3.9,Air,453,Patna,800001,Gandhinagar,382010,1700
3.9,Surface,270,Patna,800001,Gandhinagar,382010,1700
20,Air,2683,Patna,800001,Ahmedabad,380001,1700
20,Surface,718,Patna,800001,Ahmedabad,380001,1700
12,Air,1627,Patna,800001,Chandigarh,160017,1400
12,Surface,467,Patna,800001,Chandigarh,160017,1400
14.2,Air,2421,Patna,800001,Shimla,171001,1500
14.2,Surface,603,Patna,800001,Shimla,171001,1500
16.9,Air,2287,Patna,800001,Ranchi,834001,300
16.9,Surface,624,Patna,800001,Ranchi,834001,300
15.7,Air,2155,Patna,800001,Bengaluru,560001,2000
15.7,Surface,592,Patna,800001,Bengaluru,560001,2000
9.2,Air,1601,Patna,800001,Thiruvananthapuram,695001,2800
9.2,Surface,425,Patna,800001,Thiruvananthapuram,695001,2800
17,Air,2831,Patna,800001,Kozhikode,673001,2700
17,Surface,804,Patna,800001,Kozhikode,673001,2700
15.1,Air,2089,Patna,800001,Bhopal,462001,1000
15.1,Surface,668,Patna,800001,Bhopal,462001,1000
15,Air,2023,Patna,800001,Indore,452001,1100
15,Surface,561,Patna,800001,Indore,452001,1100
17,Air,2287,Patna,800001,Mumbai,400001,1800
17,Surface,668,Patna,800001,Mumbai,400001,1800
11.5,Air,1561,Patna,800001,Pune,411001,1800
11.5,Surface,467,Patna,800001,Pune,411001,1800
6.3,Air,842,Patna,800001,Nagpur,440001,1100
6.3,Surface,345,Patna,800001,Nagpur,440001,1100
